N°;Nombre_comercial;Url_Imagnes;;;
54;Motorola Moto G85 256GB Gris;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059405.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059405_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059405_3.jpg";;;
55;Oppo A38 128 GB Dorado;"https://puntoscolombia.vtexassets.com/arquivos/ids/24020525-800-auto?v=638305559647400000&width=800&height=auto&aspect=true;https://puntoscolombia.vtexassets.com/arquivos/ids/24020523-800-auto?v=638305559646330000&width=800&height=auto&aspect=true;https://puntoscolombia.vtexassets.com/arquivos/ids/24020526-800-auto?v=638305559647700000&width=800&height=auto&aspect=true";;;
56;Motorola Moto G85 256GB 5G Verde;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059413.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059413_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059413_3.jpg";;;
57;Oppo A40 256GB Morado;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059794.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059794_2.jpg";;;
58;Motorola Moto G85 256GB Azul;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059357.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059357_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059357_3.jpg";;;
59;Motorola Moto G85 512GB Verde + MotoBuds 065;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059413.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059413_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059413_3.jpg;https://http2.mlstatic.com/D_NQ_NP_689070-MLU77422961740_072024-O.webp";;;
60;Oppo A60 256GB Negro;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059914.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059914_3.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059914_5.jpg";;;
61;OPPO Reno 12 512GB Morado + Reloj Inteligente;"https://www.alkomprar.com/medias/7708334730794-001-750Wx750H?context=bWFzdGVyfGltYWdlc3wzMDI0MnxpbWFnZS93ZWJwfGFEZzFMMmd3WXk4eE5Ea3lOVFEwTWpjeE1UVTRNaTgzTnpBNE16TTBOek13TnprMFh6QXdNVjgzTlRCWGVEYzFNRWd8YmE4MDQ0YmZmODUyZGE3MzE5NmQ4YzkwNzQ3NzlhMGEzZDBiOGY3YWIwMmU5ZDUyNzA5OGFiODQ5ODk3ZTkzMQ;https://www.corbeta.com.co/media/catalog/product/cache/1/image/458x458/9df78eab33525d08d6e5fb8d27136e95/0/6/06_4_.jpg";;;
62;Oppo A60 256GB Blanco;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059813.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059813_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059813_3.jpg";;;
63;Oppo A80 256GB Morado;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062076_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062076_3.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062076_4.jpg";;;
64;Oppo Reno 12F 256GB Naranja + Speaker;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70060574.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70060574_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70060574_6.jpg";;;
65;Oppo Reno 12F 256GB Rojo;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70063721_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70063721_3.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70063721_4.jpg";;;
66;Oppo Reno 12 512GB Morado + Reloj Inteligente;"https://www.alkomprar.com/medias/7708334730794-001-750Wx750H?context=bWFzdGVyfGltYWdlc3wzMDI0MnxpbWFnZS93ZWJwfGFEZzFMMmd3WXk4eE5Ea3lOVFEwTWpjeE1UVTRNaTgzTnpBNE16TTBOek13TnprMFh6QXdNVjgzTlRCWGVEYzFNRWd8YmE4MDQ0YmZmODUyZGE3MzE5NmQ4YzkwNzQ3NzlhMGEzZDBiOGY3YWIwMmU5ZDUyNzA5OGFiODQ5ODk3ZTkzMQ;https://www.corbeta.com.co/media/catalog/product/cache/1/image/458x458/9df78eab33525d08d6e5fb8d27136e95/0/6/06_4_.jpg";;;
